signal_type,entry_time,entry_price,exit_price,exit_reason,hold_hours,pnl_pct,pnl_actual
sell_3_original,2026-03-26 14:05:00,67300.0,68982.5,stop_loss,24.0,-2.5,-0.375
buy_3_original,2026-03-26 15:05:00,66596.8,66236.79,timeout,24.0,-0.5405815294428701,-0.08108722941643051
sell_3_original,2026-03-26 15:40:00,67065.35,68741.98375,stop_loss,24.0,-2.4999999999999902,-0.3749999999999985
buy_3_original,2026-03-26 16:00:00,66930.9,65950.0,timeout,24.0,-1.4655413269506226,-0.21983119904259338
sell_3_original,2026-03-26 16:30:00,67101.81,68779.35525,stop_loss,24.0,-2.4999999999999933,-0.374999999999999
buy_3_original,2026-03-26 17:20:00,66731.08,65946.27,timeout,24.0,-1.1760786727863504,-0.17641180091795255
sell_3_original,2026-03-26 17:50:00,67016.88,68692.302,stop_loss,24.0,-2.499999999999987,-0.37499999999999806
buy_3_original,2026-03-26 18:25:00,66825.61,65763.5,timeout,24.0,-1.5893756899488094,-0.2384063534923214
sell_3_original,2026-03-26 18:50:00,67096.68,68774.09699999998,stop_loss,24.0,-2.4999999999999805,-0.37499999999999706
buy_3_original,2026-03-26 19:10:00,66855.5,65775.16,timeout,24.0,-1.615932870145308,-0.2423899305217962
sell_3_original,2026-03-26 19:35:00,67000.0,68675.0,stop_loss,24.0,-2.5,-0.375
buy_3_original,2026-03-26 20:00:00,66702.83,66074.32,timeout,24.0,-0.9422538743858314,-0.14133808115787472
sell_3_original,2026-03-26 20:20:00,66844.77,68515.88925,stop_loss,24.0,-2.499999999999983,-0.37499999999999745
buy_3_original,2026-03-26 20:40:00,66483.9,65896.7,timeout,24.0,-0.8832213513346797,-0.13248320270020195
sell_3_original,2026-03-26 21:10:00,66750.57,68419.33425,stop_loss,24.0,-2.499999999999989,-0.37499999999999833
buy_3_original,2026-03-26 22:15:00,66282.0,66003.86,timeout,24.0,-0.4196312724419894,-0.0629446908662984
sell_3_original,2026-03-26 22:40:00,66659.97,68326.46925,stop_loss,24.0,-2.4999999999999902,-0.3749999999999985
buy_3_original,2026-03-26 23:05:00,66500.04,65988.59,timeout,24.0,-0.7690972817459917,-0.11536459226189874
sell_3_original,2026-03-26 23:30:00,66677.85,68344.79625,stop_loss,24.0,-2.4999999999999902,-0.3749999999999985
buy_3_original,2026-03-27 00:05:00,66416.68,66365.03,timeout,24.0,-0.07776660923128675,-0.011664991384693013
sell_3_original,2026-03-27 00:30:00,66670.63,68337.39575,stop_loss,24.0,-2.499999999999987,-0.37499999999999806
buy_3_original,2026-03-27 05:15:00,66579.32,66224.57,timeout,24.0,-0.5328231048319507,-0.0799234657247926
sell_3_original,2026-03-27 05:45:00,66810.61,68480.87525,stop_loss,24.0,-2.499999999999995,-0.3749999999999993
buy_3_original,2026-03-27 06:20:00,66508.1,66490.13,timeout,24.0,-0.027019265322571477,-0.004052889798385722
sell_3_original,2026-03-27 06:50:00,66990.59,68665.35474999998,stop_loss,24.0,-2.4999999999999813,-0.37499999999999717
buy_3_original,2026-03-27 07:15:00,66875.09,66472.31,timeout,24.0,-0.602287039912767,-0.09034305598691504
sell_3_original,2026-03-27 08:05:00,67010.0,66499.75,timeout,24.0,0.7614535144008356,0.11421802716012534
buy_3_original,2026-03-27 08:25:00,66931.4,66552.28,timeout,24.0,-0.5664307036756968,-0.08496460555135452
sell_3_original,2026-03-27 12:05:00,67067.0,66334.9,timeout,24.0,1.0915949721919957,0.16373924582879937
buy_3_original,2026-03-27 12:45:00,66842.76,66393.48,timeout,24.0,-0.6721445972607937,-0.10082168958911905
sell_3_original,2026-03-27 13:15:00,66919.49,66474.08,timeout,24.0,0.6655908465530797,0.09983862698296195
buy_3_original,2026-03-27 13:45:00,66826.13,66851.09,timeout,24.0,0.03735065909097512,0.005602598863646268
sell_3_original,2026-03-27 14:30:00,66968.28,66796.67,timeout,24.0,0.2562556481964306,0.03843834722946459
buy_3_original,2026-03-27 15:00:00,66827.22,66738.36,timeout,24.0,-0.13296976890554565,-0.019945465335831847
sell_3_original,2026-03-27 15:20:00,66919.41,67242.88,timeout,24.0,-0.48337246248883714,-0.07250586937332557
buy_3_original,2026-03-27 15:55:00,66814.0,67014.91,timeout,24.0,0.30070045200108286,0.04510506780016243
sell_3_original,2026-03-27 16:40:00,66910.22,66899.41,timeout,24.0,0.016155977367878438,0.0024233966051817658
buy_3_original,2026-03-27 17:00:00,66775.91,66969.05,timeout,24.0,0.28923604335755126,0.043385406503632686
sell_3_original,2026-03-27 17:35:00,66897.64,66862.01,timeout,24.0,0.053260473762609055,0.007989071064391357
buy_3_original,2026-03-28 12:05:00,66611.66,66781.33,timeout,24.0,0.2547151654830374,0.03820727482245561
sell_3_original,2026-03-28 12:45:00,66914.48,66803.91,timeout,24.0,0.16524076702081886,0.024786115053122827
buy_3_original,2026-03-28 13:05:00,66715.43,66542.88,timeout,24.0,-0.2586358208288373,-0.03879537312432559
sell_3_original,2026-03-28 13:50:00,66907.68,66620.35,timeout,24.0,0.4294424795479192,0.06441637193218788
buy_3_original,2026-03-28 14:10:00,66860.23,66672.92,timeout,24.0,-0.28015159385481875,-0.042022739078222814
sell_3_original,2026-03-28 14:45:00,67037.22,66551.24,timeout,24.0,0.7249405628693969,0.10874108443040953
buy_3_original,2026-03-28 15:25:00,66968.35,66420.74,timeout,24.0,-0.8177146368396423,-0.12265719552594634
sell_3_original,2026-03-28 16:05:00,67150.0,66506.0,timeout,24.0,0.9590469099032017,0.14385703648548026
buy_3_original,2026-03-28 16:40:00,66900.91,66540.0,timeout,24.0,-0.53946949301587,-0.0809204239523805
sell_3_original,2026-03-28 18:05:00,66963.8,66349.84,timeout,24.0,0.9168535835780024,0.13752803753670034
buy_3_original,2026-03-28 18:50:00,66820.54,66450.9,timeout,24.0,-0.5531831978610162,-0.08297747967915244
sell_3_original,2026-03-28 19:10:00,67545.06,66436.9,timeout,24.0,1.640623311312483,0.24609349669687244
buy_3_original,2026-03-28 19:35:00,67272.72,66386.53,timeout,24.0,-1.3173096018713117,-0.19759644028069676
sell_3_original,2026-03-28 20:20:00,67410.0,66721.52,timeout,24.0,1.0213321465657854,0.1531998219848678
